,date,open,high,low,close
0,2024-01-10 09:15:00,65.0,83.6,53.6,58.4
1,2024-01-10 09:20:00,58.4,69.0,53.35,60.3
2,2024-01-10 09:25:00,60.3,86.8,57.05,80.25
3,2024-01-10 09:30:00,80.25,84.7,31.3,31.3
4,2024-01-10 09:35:00,31.3,48.0,28.15,34.2
5,2024-01-10 09:40:00,34.2,37.75,24.55,24.75
6,2024-01-10 09:45:00,24.75,39.4,23.3,28.85
7,2024-01-10 09:50:00,28.85,30.4,22.4,25.1
8,2024-01-10 09:55:00,25.1,31.3,19.45,22.2
9,2024-01-10 10:00:00,22.2,25.95,21.65,25.4
10,2024-01-10 10:05:00,25.4,27.7,21.2,23.4
11,2024-01-10 10:10:00,23.4,23.4,17.95,18.15
12,2024-01-10 10:15:00,18.15,18.95,13.7,16.15
13,2024-01-10 10:20:00,16.15,21.85,15.55,20.8
14,2024-01-10 10:25:00,21.35,25.95,19.05,19.7
15,2024-01-10 10:30:00,19.7,20.0,15.25,16.2
16,2024-01-10 10:35:00,16.2,18.05,15.95,16.15
17,2024-01-10 10:40:00,16.15,22.7,15.85,21.6
18,2024-01-10 10:45:00,21.6,26.2,19.6,22.9
19,2024-01-10 10:50:00,22.9,24.55,18.7,21.2
20,2024-01-10 10:55:00,21.2,25.15,19.85,22.55
21,2024-01-10 11:00:00,22.55,24.15,17.2,19.0
22,2024-01-10 11:05:00,19.0,24.6,18.6,20.55
23,2024-01-10 11:10:00,20.55,22.2,14.8,15.2
24,2024-01-10 11:15:00,15.2,17.35,12.4,16.0
25,2024-01-10 11:20:00,16.0,16.45,13.05,13.85
26,2024-01-10 11:25:00,13.85,14.15,11.55,13.55
27,2024-01-10 11:30:00,13.4,16.45,12.5,15.95
28,2024-01-10 11:35:00,15.95,16.7,10.75,11.15
29,2024-01-10 11:40:00,11.15,11.9,9.75,11.8
30,2024-01-10 11:45:00,11.8,13.65,11.0,12.05
31,2024-01-10 11:50:00,12.05,13.85,11.25,12.8
32,2024-01-10 11:55:00,12.55,14.55,11.6,12.25
33,2024-01-10 12:00:00,12.25,14.85,11.3,14.7
34,2024-01-10 12:05:00,14.7,21.85,14.45,16.35
35,2024-01-10 12:10:00,16.35,17.45,12.5,14.7
36,2024-01-10 12:15:00,14.7,17.65,14.7,17.0
37,2024-01-10 12:20:00,17.0,19.15,14.8,17.3
38,2024-01-10 12:25:00,17.05,18.4,14.45,14.5
39,2024-01-10 12:30:00,14.5,16.25,11.45,11.75
40,2024-01-10 12:35:00,11.75,13.05,11.45,11.8
41,2024-01-10 12:40:00,11.8,17.2,11.6,16.9
42,2024-01-10 12:45:00,16.9,44.7,11.45,19.45
43,2024-01-10 12:50:00,19.45,24.85,16.7,17.75
44,2024-01-10 12:55:00,17.75,22.05,17.7,18.95
45,2024-01-10 13:00:00,18.95,20.95,16.3,18.1
46,2024-01-10 13:05:00,18.0,18.85,13.1,15.75
47,2024-01-10 13:10:00,15.75,17.1,12.05,12.95
48,2024-01-10 13:15:00,12.95,15.7,11.75,12.7
49,2024-01-10 13:20:00,12.7,15.25,12.6,13.75
50,2024-01-10 13:25:00,13.65,14.7,12.5,12.8
51,2024-01-10 13:30:00,12.8,14.2,10.45,13.8
52,2024-01-10 13:35:00,13.75,16.3,13.0,14.15
53,2024-01-10 13:40:00,14.15,17.6,10.7,10.75
54,2024-01-10 13:45:00,10.7,16.75,10.35,13.25
55,2024-01-10 13:50:00,13.25,13.9,10.95,10.95
56,2024-01-10 13:55:00,11.1,11.5,6.55,7.4
57,2024-01-10 14:00:00,7.4,8.3,5.85,8.15
58,2024-01-10 14:05:00,8.15,8.5,5.45,5.55
59,2024-01-10 14:10:00,5.45,5.6,3.55,3.75
60,2024-01-10 14:15:00,3.75,4.0,2.9,3.25
61,2024-01-10 14:20:00,3.25,5.25,2.8,4.8
62,2024-01-10 14:25:00,4.8,5.9,3.7,4.0
63,2024-01-10 14:30:00,4.0,4.2,2.45,2.5
64,2024-01-10 14:35:00,2.5,2.5,1.6,1.6
65,2024-01-10 14:40:00,1.6,1.8,1.5,1.55
66,2024-01-10 14:45:00,1.55,1.8,1.15,1.2
67,2024-01-10 14:50:00,1.2,1.2,0.7,0.8
68,2024-01-10 14:55:00,0.8,0.9,0.7,0.85
69,2024-01-10 15:00:00,0.8,0.85,0.4,0.45
70,2024-01-10 15:05:00,0.4,0.7,0.35,0.4
71,2024-01-10 15:10:00,0.4,0.5,0.2,0.25
72,2024-01-10 15:15:00,0.25,0.3,0.1,0.1
73,2024-01-10 15:20:00,0.15,0.15,0.05,0.05
74,2024-01-10 15:25:00,0.1,0.1,0.05,0.05
