,date,open,high,low,close
0,2024-01-10 09:15:00,38.15,45.1,32.85,37.0
1,2024-01-10 09:20:00,37.0,39.45,31.85,34.1
2,2024-01-10 09:25:00,34.1,35.4,22.85,23.0
3,2024-01-10 09:30:00,23.0,70.0,22.5,67.1
4,2024-01-10 09:35:00,67.1,77.45,43.45,60.8
5,2024-01-10 09:40:00,60.8,86.4,52.85,85.7
6,2024-01-10 09:45:00,85.7,88.0,44.8,54.8
7,2024-01-10 09:50:00,54.8,73.55,51.05,65.05
8,2024-01-10 09:55:00,65.05,74.0,50.25,68.35
9,2024-01-10 10:00:00,68.35,68.35,55.05,56.15
10,2024-01-10 10:05:00,56.15,65.25,47.75,57.6
11,2024-01-10 10:10:00,57.6,80.0,56.35,77.2
12,2024-01-10 10:15:00,77.2,110.0,74.25,94.1
13,2024-01-10 10:20:00,94.1,96.95,57.25,60.7
14,2024-01-10 10:25:00,60.7,62.25,47.0,57.1
15,2024-01-10 10:30:00,57.1,77.0,55.9,67.8
16,2024-01-10 10:35:00,67.8,72.95,62.15,68.55
17,2024-01-10 10:40:00,68.55,69.5,47.8,49.35
18,2024-01-10 10:45:00,49.35,54.2,35.35,40.2
19,2024-01-10 10:50:00,40.2,45.0,34.95,37.65
20,2024-01-10 10:55:00,37.65,44.55,31.1,35.05
21,2024-01-10 11:00:00,35.05,44.15,30.8,38.3
22,2024-01-10 11:05:00,38.3,39.15,28.5,32.05
23,2024-01-10 11:10:00,32.05,45.05,29.65,42.7
24,2024-01-10 11:15:00,42.85,48.65,35.2,39.1
25,2024-01-10 11:20:00,39.1,45.0,37.8,42.7
26,2024-01-10 11:25:00,42.7,52.2,35.8,38.65
27,2024-01-10 11:30:00,38.65,42.8,31.65,32.2
28,2024-01-10 11:35:00,31.1,51.2,30.35,48.25
29,2024-01-10 11:40:00,48.25,70.0,45.4,47.4
30,2024-01-10 11:45:00,46.85,54.1,38.35,43.95
31,2024-01-10 11:50:00,43.45,49.2,38.45,42.1
32,2024-01-10 11:55:00,42.1,44.75,36.3,41.1
33,2024-01-10 12:00:00,41.1,43.75,31.15,31.25
34,2024-01-10 12:05:00,31.25,32.6,20.7,27.65
35,2024-01-10 12:10:00,27.15,32.8,24.6,27.65
36,2024-01-10 12:15:00,27.65,28.85,24.1,25.35
37,2024-01-10 12:20:00,25.35,28.4,22.4,24.0
38,2024-01-10 12:25:00,24.0,29.15,22.8,28.3
39,2024-01-10 12:30:00,28.3,37.3,24.5,33.6
40,2024-01-10 12:35:00,33.15,36.35,27.6,33.2
41,2024-01-10 12:40:00,33.2,34.4,19.8,20.55
42,2024-01-10 12:45:00,20.55,30.7,9.25,17.5
43,2024-01-10 12:50:00,17.25,17.85,13.35,16.2
44,2024-01-10 12:55:00,16.2,17.15,12.9,15.05
45,2024-01-10 13:00:00,15.05,16.9,13.65,14.85
46,2024-01-10 13:05:00,15.0,21.45,14.0,16.0
47,2024-01-10 13:10:00,16.0,24.55,14.7,21.0
48,2024-01-10 13:15:00,20.95,25.75,15.3,18.7
49,2024-01-10 13:20:00,18.7,19.85,14.45,17.9
50,2024-01-10 13:25:00,17.9,20.2,15.45,18.35
51,2024-01-10 13:30:00,18.0,25.1,14.15,14.7
52,2024-01-10 13:35:00,14.7,16.8,12.55,14.65
53,2024-01-10 13:40:00,15.05,18.8,12.05,18.2
54,2024-01-10 13:45:00,18.2,18.5,10.95,13.0
55,2024-01-10 13:50:00,12.95,16.85,12.45,16.8
56,2024-01-10 13:55:00,16.4,46.8,15.9,41.9
57,2024-01-10 14:00:00,41.75,71.3,21.95,23.25
58,2024-01-10 14:05:00,23.15,29.25,18.8,27.05
59,2024-01-10 14:10:00,27.65,37.7,22.85,33.05
60,2024-01-10 14:15:00,33.05,45.45,26.65,34.8
61,2024-01-10 14:20:00,34.55,38.15,12.4,13.25
62,2024-01-10 14:25:00,13.3,14.65,10.3,13.35
63,2024-01-10 14:30:00,13.35,23.3,11.85,18.6
64,2024-01-10 14:35:00,18.6,42.0,17.3,30.4
65,2024-01-10 14:40:00,30.4,49.0,13.15,18.7
66,2024-01-10 14:45:00,18.7,19.0,7.2,9.65
67,2024-01-10 14:50:00,9.9,22.05,9.8,20.2
68,2024-01-10 14:55:00,20.2,22.15,10.15,10.5
69,2024-01-10 15:00:00,10.5,23.7,8.6,23.55
70,2024-01-10 15:05:00,24.1,24.45,1.0,1.55
71,2024-01-10 15:10:00,1.55,1.7,0.35,0.45
72,2024-01-10 15:15:00,0.4,1.3,0.2,0.3
73,2024-01-10 15:20:00,0.35,0.45,0.05,0.05
74,2024-01-10 15:25:00,0.1,0.1,0.05,0.05
